Month,Active,Peak Viewers,Peak Channels,Avg. Conc.,Avg. Conc.,Hours Streamed,Games Streamed
Dec-19,2659408,2647020,90896,1185297,45649,881070084,9815
Nov-19,2539622,2905536,76062,1222701,45651,873619816,9820
Dec-20,4437284,4840522,234924,2522643,106891,1872221076,15196
Nov-20,4188700,4390261,185063,2486844,103918,1790112912,15163
Oct-20,3782701,4224031,159649,2384649,95080,1773383828,14808
Sep-20,3796128,4815916,144119,2203460,91917,1584654916,14325
Aug-20,4054360,3854310,144630,2178019,96284,1615363548,13176
Jul-20,3923633,3991727,141196,2095123,93656,1556676252,15015
Jun-20,3821162,6060464,203122,2262788,93953,1627698464,12668
May-20,3839596,4042550,157906,2357305,100296,1747548100,12909
Apr-20,3544612,4468540,164010,2490968,93822,1789760468,12235
Mar-20,3468412,3383348,132223,1633670,65928,1208370968,11345
Feb-20,3575855,2658896,84167,1408076,53722,973449290,10399
Jan-20,3219159,2420086,87331,1357265,52817,1009352334,10260
Oct-21,3790159,6176221,141058,2707758,91686,1986591792,17850
Sep-21,3898208,5564583,207902,2573103,95371,1837623884,17393
Aug-21,4050691,4750351,190473,2654084,100539,1967560692,17081
Jul-21,3916685,4414159,146244,2626124,101645,1953835920,17075
Jun-21,3332119,5793507,155527,2724583,101753,1948530600,16846
May-21,3272608,5835026,184034,3100114,110230,2299250460,16739
Apr-21,3989907,6248256,201703,3099202,115703,2222643776,16568
Mar-21,4272152,5264032,199020,2928369,116926,2172361608,16218
Feb-21,4213517,5300171,200993,2943446,122693,1971127076,15700
Jan-21,4567384,6577002,199807,2918417,119239,2162546512,15694